Repository Name,URL,Description,Creation Date
Awesome-STT-Tools,https://github.com/danielrosehill/Awesome-STT-Tools,"A few useful speech to text tools that I've stumbled across including browser extensions, Linux desktop tools and ASR. ",2025-01-04 22:25:54
Awesome-STT-Projects,https://github.com/danielrosehill/Awesome-STT-Projects,A list of some STT projects from around the internet,2025-01-02 11:30:09
Corn-The-Sloth-Public,https://github.com/danielrosehill/Corn-The-Sloth-Public,Character sketches for an AI character...,2024-12-24 19:00:45
Context-Data-Generation-Bot,https://github.com/danielrosehill/Context-Data-Generation-Bot,Configuration for an AI assistant to generate personal contextual data (and intended workflow),2024-12-24 10:48:50
Context-Waterfall-Architecture-Notes,https://github.com/danielrosehill/Context-Waterfall-Architecture-Notes,A model for routing contextual data into vector storage for use with LLMs,2024-12-18 15:22:56
Bias-Censorship-Eval-Tests,https://github.com/danielrosehill/Bias-Censorship-Eval-Tests,Some loosely organised experiments intended to probe the levels of political censorship inherent in LLMs,2024-12-17 01:43:52
Anonymisation-Assistant,https://github.com/danielrosehill/Anonymisation-Assistant,Configuration for a large language assistant designed to assist with redacting personally identifiable details in documents,2024-12-16 23:13:12
AI-Abusive-Message-Documentation-Tool,https://github.com/danielrosehill/AI-Abusive-Message-Documentation-Tool,Configuration text for an LLM assistant designed to assist users with documenting abusive messages,2024-12-15 14:22:14
AI-Generated-Project-Starters,https://github.com/danielrosehill/AI-Generated-Project-Starters,AI-generated project starters for anyone wishing to carry on the ideas!,2024-12-09 19:03:53
Daniel-s-Workstation-Backup-Genie,https://github.com/danielrosehill/Daniel-s-Workstation-Backup-Genie,"A Claude-developed, me-prompted incremental BTRFS backup utility with hardcoded serial number verification on the target device",2024-10-01 16:29:11
Awesome-Obsidian-AI-Tools,https://github.com/danielrosehill/Awesome-Obsidian-AI-Tools,Obsidian plugins focused on leveraging AI & LLMs inside of (and beyond) vaults,2024-09-30 00:14:49
AI-Generated-Code-Samples,https://github.com/danielrosehill/AI-Generated-Code-Samples,Scripts and other programs generated with various LLMs. Sometimes they need refinement. Frequently they just work!,2024-08-09 15:36:11
Custom-Chat-GPT-Finder,https://github.com/danielrosehill/Custom-Chat-GPT-Finder,Utility for identifying newly released custom ChatGPTs shared via the ChatGPT App Store,2024-08-07 19:14:04
Awesome-LLM-Prompt-Libraries,https://github.com/danielrosehill/Awesome-LLM-Prompt-Libraries,"An index of prompting libraries for GPTs, including ChatGPT. Some of these are on Github and others are hosted externally.",2024-08-07 16:50:44
Awesome-Prompt-Engineering,https://github.com/danielrosehill/Awesome-Prompt-Engineering,"This repository contains a hand-curated resources for Prompt Engineering with a focus on Generative Pre-trained Transformer (GPT), ChatGPT, PaLM etc ",2024-08-07 16:47:21
awesome-chatgpt-prompts,https://github.com/danielrosehill/awesome-chatgpt-prompts,This repo includes ChatGPT prompt curation to use ChatGPT better.,2024-08-07 16:47:07
Custom-LLM-Agent-Platforms,https://github.com/danielrosehill/Custom-LLM-Agent-Platforms,"Tools, frameworks, and platforms for custom LLM agent creation, including AI workforces/fleets",2024-08-06 21:12:58
Awesome-LLM-Communities,https://github.com/danielrosehill/Awesome-LLM-Communities,Great online communities discussing use of LLMs including (but not limited to) ChatGPT,2024-07-30 19:35:42
Daniel-Public-Changelog,https://github.com/danielrosehill/Daniel-Public-Changelog,A publicly accessible changelog of all my technical projects,2024-07-27 20:37:42
ChatGPT-CustomGPT-Dev,https://github.com/danielrosehill/ChatGPT-CustomGPT-Dev,Scripts and utilities for managing custom GPTs built with ChatGPT,2024-07-16 19:51:58
Custom-LLM-Agents,https://github.com/danielrosehill/Custom-LLM-Agents,"This repository contains configuration scripts for large language model assistants, which I have deployed mostly currently on Hugging Face Chat. ",2024-07-06 19:25:02
astrostarter,https://github.com/danielrosehill/astrostarter,A few spins on the Astro starter theme to demonstrate some capabilities that I like adding to this framework,2024-06-26 23:14:14
Awesome-Linux-IDEs,https://github.com/danielrosehill/Awesome-Linux-IDEs,"IDEs and development tools that work on one or multiple Linux distros. where possible details are noted like the supported distros, programming languages and more.   ",2024-05-19 17:20:38
Awesome-Kubernetes-Linux-Desktop,https://github.com/danielrosehill/Awesome-Kubernetes-Linux-Desktop,GUIs and other tools that make managing Kubernetes clusters easier for Linux desktop users (I use Ubuntu but will add resources for other distros),2024-04-20 17:48:38
Awesome-Israeli-Jewish-Home-Assistant,https://github.com/danielrosehill/Awesome-Israeli-Jewish-Home-Assistant,Home automation projects that are relevant to people in Israel or Jews generally (e.g. Shabbat and zmanim time integrations),2024-04-12 12:54:28
awesome-opensource-israel,https://github.com/danielrosehill/awesome-opensource-israel,"A curated list of Israeli-made projects, events, and individuals",2024-04-10 17:56:35
backup_internet_israel,https://github.com/danielrosehill/backup_internet_israel,Network schematics and purchasing notes for those interested in provisioning failover and bonded internet connectivity in Israel (using locally sourced hardware),2021-09-06 03:29:41
AWSCCPPrep,https://github.com/danielrosehill/AWSCCPPrep,Preparation materials for the AWS Certified Cloud Practitioner exam. Please use at your own discretion. I do not warrant that any of these training materials are free of errors. ,2020-10-13 10:47:46
Cloud-Backup-Scripts,https://github.com/danielrosehill/Cloud-Backup-Scripts,Various scripts for manually syncing and backing up cloud storage,2020-05-08 12:16:51
CloudBackupApproaches,https://github.com/danielrosehill/CloudBackupApproaches,Periodically updated markdown documentation summarizing manual / non-programmatic methodologies to back up commonly used SaaS / cloud-hosted software utilities.,2020-04-30 22:03:56
